name,rating,rating_count,types,address,region_level_1,phone,website,weighted_score
Myeongdong Kyoja Main Restaurant,4.2,13470,"[dumpling_restaurant, kalguksu_restaurant, korean_restaurant]","29 Myeongdong 10-gil, Jung District, Seoul, South Korea",Seoul,+82 2-776-5348,http://www.mdkj.co.kr/,56574
Tosokchon Samgyetang,4.2,11409,"[samgyetang_restaurant, restaurant]","5 Jahamun-ro 5-gil, Jongno District, Seoul, South Korea",Seoul,+82 2-737-7444,http://tosokchon.com/,47917.8
Ujin Haejangguk,4.1,9214,"[korean_restaurant, hangover_soup_restaurant]","11 Seosa-ro, 특별자치도, Jeju-si, Jeju-do, South Korea",Jeju-do,+82 64-757-3393,,37777.4
Ungteori Myeongdong Korean BBQ Restaurant | All you can eat | BUFFET | kbbq | 明洞 サムギョプサル 明洞美食 明洞五花肉 l AYCE 명동 엉터리생고기 무한리필,4.8,7070,"[korean_barbecue_restaurant, barbecue_restaurant, barbecue_spots, korean_beef_restaurant, korean_restaurant, meat_buffet_restaurant, pork_belly_barbeque_restaurant, restaurant, wok_restaurant]","South Korea, Seoul, Jung District, 4길 23 2층",Seoul,+82 10-9511-0020,http://www.ungteori.com/,33936
Gozip Dol Wooluck Jungmun,4.7,6683,[fish_restaurant],"879 Iljuseo-ro, 특별자치도 Seogwipo-si, Jeju-do, South Korea",Jeju-do,+82 64-738-1540,https://www.gozipfish.com/,31410.1
"Geumsubokguk, Haeundae Head Store",4.2,7394,[fugu_restaurant],"23 Jungdong 1-ro 43beon-gil, Haeundae-gu, Busan, South Korea",Busan,+82 51-742-3600,,31054.8
"Ssada Gimbab, Myeongdong Station",4.9,5854,[korean_restaurant],"26 Myeongdong 8ga-gil, Jung District, Seoul, South Korea",Seoul,+82 2-318-1153,https://www.youtube.com/%40mss.rollitup,28684.6
Pizzeria O,4.8,5759,"[pizza_restaurant, italian_restaurant, spaghetti_restaurant]","86 Dongsung-gil, Jongno District, Seoul, South Korea",Seoul,+82 2-3673-5005,http://pizzeriao.com/,27643.2
Wangbijip Myeongdong Main store,4.7,5864,"[korean_barbecue_restaurant, barbecue_restaurant, korean_beef_restaurant, meat_restaurant, restaurant]","26 Myeongdong 8ga-gil, Jung District, Seoul, South Korea",Seoul,+82 2-3789-1945,https://www.instagram.com/wangbijib_official%3Figsh%3DMTBhZHVzcTRtNG83MA%3D%3D,27560.8
Woo Lae Oak,4.2,6305,[cold_noodle_restaurant],"62-29 Changgyeonggung-ro, Jung District, Seoul, South Korea",Seoul,+82 2-2265-0151,,26481
MUTAN COEX,4.9,5144,"[chinese_restaurant, fine_dining_restaurant, restaurant]","South Korea, Seoul, Gangnam District, Yeongdong-daero, 513 코엑스몰 B1층 H121호",Seoul,+82 2-551-7774,,25205.6
Joongang Haejang,4.3,5654,[korean_restaurant],"17 Yeongdong-daero 86-gil, Gangnam District, Seoul, South Korea",Seoul,+82 2-558-7905,http://www.joongangfnb.com/,24312.2
Somunnan Seongsu Gamjatang (Pork Bone Soup),4.1,5622,[korean_restaurant],"45 Yeonmujang-gil, Seongdong-gu, Seoul, South Korea",Seoul,+82 2-465-6580,,23050.2
합천일류돼지국밥,4.1,5139,"[pork_rice_soup_restaurant, korean_restaurant]","34 Gwangjang-ro, Sasang-gu, Busan, South Korea",Busan,+82 51-317-2478,,21069.9
Myeongjin Jeonbok Abalone Restaurant,4.1,5119,[seafood_restaurant],"1282 Haemajihaean-ro, Gujwa-eup, Jeju-si, Jeju-do, South Korea",Jeju-do,+82 64-782-9944,,20987.9
Gozip Dol Wooluck,4.6,4403,[korean_restaurant],"30 Imhang-ro, 특별자치도, Jeju-si, Jeju-do, South Korea",Jeju-do,+82 50-71436-1008,https://www.instagram.com/gozip_airport/,20253.8
Odarijip Ganjang Gejang,4.7,4266,"[crab_dish_restaurant, korean_restaurant, restaurant]","2F, 28 Myeongdong 8na-gil, Jung District, Seoul, South Korea",Seoul,+82 10-8487-3663,http://www.odarijip.com/,20050.2
Wangbijib Myeongdong Center store,4.8,4060,"[korean_barbecue_restaurant, barbecue_restaurant, korean_beef_restaurant, korean_rib_restaurant, meat_restaurant, pork_belly_barbeque_restaurant, restaurant]","45 Myeongdong 8na-gil, Jung District, Seoul, South Korea",Seoul,+82 2-776-2361,https://youtu.be/DvYl5s8Tjx8,19488
Bonjeon Dwaeji Gukbap,4.1,4572,[pork_rice_soup_restaurant],"3-8 Jungang-daero 214beon-gil, Dong-gu, Busan, South Korea",Busan,+82 51-441-2946,,18745.2
Eulmildae,4.2,4378,[cold_noodle_restaurant],"24 Sungmun-gil, Mapo-gu, Seoul, South Korea",Seoul,+82 2-717-1922,,18387.6
Ollae Guksu,4.1,4389,[noodle_shop],"24 Gwiarang-gil, 특별자치도, Jeju-si, Jeju-do, South Korea",Jeju-do,+82 64-742-7355,,17994.9
"Lee Jae Mo Pizza, Busan Headstore",4.4,4069,"[pizza_restaurant, western_restaurant]","31 Gwangbokjungang-ro, Jung-gu, Busan, South Korea",Busan,+82 51-245-1478,,17903.6
ungteori saenggogi - Hongdae (Korean bbq restaurant),4.8,3689,"[korean_barbecue_restaurant, barbecue_restaurant, barbecue_spots, korean_beef_restaurant, korean_restaurant, meat_buffet_restaurant, pork_belly_barbeque_restaurant, restaurant]","118 Eoulmadang-ro, Mapo-gu, Seoul, South Korea",Seoul,+82 2-324-9588,http://www.ungteori.com/,17707.2
PLE:EATING Terminal 2 Food Court,4.1,4283,[food_court],"272 Gonghang-ro, Jung-gu, Incheon, South Korea",Incheon,+82 1577-2600,,17560.3
일편등심 명동점 | Myeongdong Beef Korean BBQ restaurant kbbq Beef | 焼き肉 焼肉 グルメ レストラン| 烤肉美食餐廳 一片里脊 明洞店,4.9,3538,"[korean_beef_restaurant, barbecue_restaurant, fine_dining_restaurant, korean_barbecue_restaurant, korean_restaurant, meat_restaurant, restaurant]","South Korea, Seoul, Jung District, Myeongdong 10-gil, 18 KR 서울특별시 중구 명동2가 32-17 3층",Seoul,+82 2-6092-1092,https://g.page/r/CbB8IuZbskO1EAE/review,17336.2
Myeongdong Kyoja Branch,4.2,4063,"[kalguksu_restaurant, korean_restaurant, noodle_shop, steamed_bun_shop]","10 Myeongdong 10-gil, Seoul, South Korea",Seoul,+82 2-776-3424,http://www.mdkj.co.kr/,17064.6
Wangbijib Myeongdong 2nd store,4.8,3506,[korean_barbecue_restaurant],"13 Myeongdong 9-gil, Jung District, Seoul, South Korea",Seoul,+82 2-3789-1946,http://naver.me/5Q4WOwhI,16828.8
함경도찹쌀순대,4.2,4005,[soondae_restaurant],"32 Songpa-daero 28-gil, Songpa District, Seoul, South Korea",Seoul,+82 2-403-8822,,16821
Wangbijib Myeongdong Yukho(왕비집 육호점),4.8,3470,[korean_barbecue_restaurant],"64 Namdaemun-ro, Jung District, Seoul, South Korea",Seoul,+82 2-3789-1544,https://www.instagram.com/wangbijib_official%3Figsh%3DMTBhZHVzcTRtNG83MA%3D%3D,16656
Mugyo-dong Bugeo-guk,4.5,3698,[korean_restaurant],"38 Eulji-ro 1-gil, Jung District, Seoul, South Korea",Seoul,+82 2-777-3891,,16641
Myeongdong Korean BBQ restaurant Beef All You Can Eat Mongvely,4.9,3343,"[korean_barbecue_restaurant, korean_beef_restaurant, meat_buffet_restaurant, restaurant]","South Korea, Seoul, Jung District, Myeongdong 8na-gil, 9 3층",Seoul,+82 2-318-2688,/sites.google.com/view/korean-bbq-restaurant-mongvely/,16380.7
Hwanggeum Mokjang(Main Branch),4.8,3270,[korean_beef_restaurant],"6 Myeongdong 8na-gil, Jung District, Seoul, South Korea",Seoul,+82 2-753-3536,http://mgoldfarm.modoo.at/,15696
Vatos Itaewon,4.3,3613,[mexican_restaurant],"1 Itaewon-ro 15-gil, Yongsan District, Seoul, South Korea",Seoul,+82 2-797-8226,http://www.vatoskorea.com/,15535.9
Jinju House,4.2,3633,[noodle_shop],"South Korea, Seoul, Yeongdeungpo District, Gukjegeumyung-ro 6-gil, 33 지하 1층",Seoul,+82 2-780-6108,,15258.6
양자강,4.7,3209,[chinese_restaurant],"494 Yongyuseo-ro, Jung-gu, Incheon, South Korea",Incheon,+82 32-746-2666,https://m.place.naver.com/restaurant/20243525,15082.3
MUTAN Apgujeong Main Store(restaurants),4.8,3117,"[chinese_restaurant, fine_dining_restaurant, restaurant]","22 Nonhyeon-ro 176-gil, Gangnam District, Seoul, South Korea",Seoul,+82 2-549-9339,,14961.6
Yookji Hongdae,4.9,3000,"[korean_barbecue_restaurant, restaurant]","34 Dongmak-ro 3-gil, Seoul, South Korea",Seoul,+82 2-2088-3905,,14700
CHUNSHIM,4.2,3493,[fish_restaurant],"16 Changcheonjungang-ro 24beon-gil, Andeok-myeon, Seogwipo-si, Jeju-do, South Korea",Jeju-do,+82 64-794-4010,https://www.instagram.com/chunsim_official/,14670.6
Hongdae Korean BBQ All You Can Eat Pig Company,4.8,3023,"[korean_barbecue_restaurant, meat_restaurant, pork_belly_barbeque_restaurant, restaurant]","28 Hongik-ro 5an-gil, 서교동 Mapo-gu, Seoul, South Korea",Seoul,+82 2-322-8891,https://naver.me/5JJQHElC,14510.4
오목골 즉석메밀우동,4.1,3527,[udon_noodle_shop],"142 Seokjeong-ro, Michuhol-gu, Incheon, South Korea",Incheon,+82 32-868-1717,,14460.7
또순이네,4.2,3430,[korean_barbecue_restaurant],"16 Seonyu-ro 47-gil, Yeongdeungpo District, Seoul, South Korea",Seoul,+82 2-2672-2255,,14406
Jinju Hoegwan,4.2,3412,"[noodle_shop, korean_restaurant, restaurant]","26 Sejong-daero 11-gil, Jung District, Seoul, South Korea",Seoul,,,14330.4
Jinmi Pyeongyang Naengmyeon,4.2,3386,[cold_noodle_restaurant],"305-3 Hakdong-ro, Gangnam District, Seoul, South Korea",Seoul,+82 2-515-3469,https://jinmipy.modoo.at/,14221.2
Manjok Ohyang Jokbal (City Hall Branch),4.2,3365,"[pigs_totters_restaurant, restaurant]","134-7 Seosomun-ro, Jung District, Seoul, South Korea",Seoul,+82 2-753-4755,,14133
Mijin,4.1,3385,"[soba_noodle_shop, korean_restaurant, restaurant]","19 Jong-ro, Jongno District, Seoul, South Korea",Seoul,+82 2-732-1954,https://mijin1954.modoo.at/,13878.5
MUHANGAMDONG,4.9,2791,"[korean_barbecue_restaurant, barbecue_restaurant, korean_beef_restaurant, meat_buffet_restaurant, meat_restaurant, pork_belly_barbeque_restaurant, restaurant]","38-14 Myeongdong 8-gil, Jung District, Seoul, South Korea",Seoul,+82 2-3789-1233,,13675.9
Cry Cheeseburger Samseong Station,4.5,2983,"[hamburger_restaurant, fast_food_restaurant]","616 Teheran-ro, Daechi-dong, Gangnam District, Seoul, South Korea",Seoul,+82 2-566-6244,,13423.5
해물포장마차촌(연화리),4.2,3157,[seafood_restaurant],"119-10 Yeonhwa-ri, Gijang-eup, Gijang-gun, Busan, South Korea",Busan,,,13259.4
Heavy Steak Anguk Station,4.9,2667,[steak_house],"67 Yulgok-ro, Jongno District, Seoul, South Korea",Seoul,+82 2-745-3309,https://instagram.com/heavysteak_official%3Futm_source%3Dig_profile_share%26igshid%3D11m66pbh7ryaa,13068.3
Lim Byungjoo Sandong Kalguksu,4.1,3179,[noodle_shop],"65 Gangnam-daero 37-gil, Seocho District, Seoul, South Korea",Seoul,+82 2-3473-7972,https://sandongkalguksu.modoo.at/,13033.9
해운대 기와집 대구탕,4.1,3175,"[korean_restaurant, restaurant]","4 Dalmaji-gil 50beon-gil, Haeundae-gu, Busan, South Korea",Busan,+82 51-731-5020,,13017.5
Yeongdong Seolleongtang,4.1,3161,"[seolleongtang_restaurant, korean_restaurant]","24 Gangnam-daero 101an-gil, Seocho District, Seoul, South Korea",Seoul,+82 2-543-4716,,12960.1
Sinbalwon,4.1,3159,"[dumpling_restaurant, chinese_restaurant]","62 Daeyeong-ro 243beon-gil, Dong-gu, Busan, South Korea",Busan,+82 51-467-0177,https://blog.naver.com/shinfayuen1951-/222962852709,12951.9
MidoGalbi,4.8,2660,"[korean_barbecue_restaurant, barbecue_restaurant, korean_beef_restaurant, korean_restaurant, korean_rib_restaurant, meat_restaurant]","25 Samil-daero 15-gil, Jongno District, Seoul, South Korea",Seoul,+82 10-9741-9233,https://redtable.global/ko/food/948206,12768
Kyochon Chicken Dongdaemun 1st Branch,4.3,2964,[fried_chicken_takeaway],"294 Jong-ro, Jongno District, Seoul, South Korea",Seoul,+82 2-2231-9337,http://www.kyochon.com/shop/domestic_sch.asp%3Fshop_id%3D508%26sido1%3D1%26sido2%3D24,12745.2
Hwanggeum Mokjang (Myeongdong Cathedral Branch),4.8,2655,[korean_beef_restaurant],"23 Myeongdong 10-gil, Jung District, Seoul, South Korea",Seoul,+82 2-318-2426,,12744
Hongs Zzuggumi,4.6,2768,[seafood_restaurant],"146 Eoulmadang-ro, Mapo-gu, Seoul, South Korea",Seoul,+82 2-325-7943,http://www.hongsjjuggumi.com/,12732.8
Pizza Hill - Walkerhill,4.3,2952,[pizza_restaurant],"177 Walkerhill-ro, Gwangjin District, Seoul, South Korea",Seoul,+82 2-450-4699,https://www.walkerhill.com/vistawalkerhillseoul/dining/PizzaHill,12693.6
Namaste Haeundae,4.8,2624,"[indian_restaurant, halal_restaurant, indian_muslim_restaurant, nepalese_restaurant]","7 Haeundaehaebyeon-ro 265beon-gil, Haeundae-gu, Busan, South Korea",Busan,+82 51-746-1946,,12595.2
Hongdae Restaurant GIT TTEUL (korean bbq),5,2504,"[korean_barbecue_restaurant, meat_restaurant, restaurant]","South Korea, Seoul, Mapo-gu, Seogyo-dong, Jandari-ro 3an-gil, 27 1,2층",Seoul,+82 70-8777-6900,https://naver.me/GfCEZgFY,12520
JD BBQ,4.9,2517,"[korean_barbecue_restaurant, bulgogi_restaurant, korean_beef_restaurant, korean_rib_restaurant, meat_restaurant]","13 Itaewon-ro 19-gil, Yongsan District, Seoul, South Korea",Seoul,+82 2-790-1555,,12333.3
Nongmin Baegam Sundae Main,4.5,2730,[korean_restaurant],"40-4 Seolleung-ro 86-gil, Gangnam District, Seoul, South Korea",Seoul,+82 2-555-9603,,12285
이태리국시 한남(ITALYGUKSI HANNAM),4.9,2478,[fusion_restaurant],"South Korea, Seoul, Yongsan District, Itaewon-ro, 234 극동스푸링쿨라(주 2층",Seoul,+82 2-797-0950,,12142.2
Gozip Dol Wooluck Hamdeok,4.6,2616,[seafood_restaurant],"South Korea, Jeju-do, Jeju-si, 특별자치도, Jocheon-eup, Sinbuk-ro, 491-9 2 층",Jeju-do,+82 50-71353-6061,https://gozipfish.com/,12033.6
Texas de Brazil Central City,4.1,2913,"[brazilian_restaurant, latin_american_restaurant, meat_restaurant, restaurant, south_american_restaurant]","South Korea, Seoul, Seocho District, Sapyeong-daero, 205 고속터미널 3번출구 앞 전방 50m위치",Seoul,+82 2-6282-5000,https://texasdebrazil.com/locations/seoul-central-city/,11943.3
Song-rim Restaurant,4.1,2888,[korean_restaurant],"79 Jayangbeonyeong-ro, Gwangjin District, Seoul, South Korea",Seoul,+82 2-457-5473,,11840.8
Hwangsaengga Kalguksu,4.2,2804,"[noodle_shop, korean_restaurant]","78 Bukchon-ro 5-gil, Jongno District, Seoul, South Korea",Seoul,+82 2-739-6334,https://hwangsanga.modoo.at/,11776.8
Geumdwaeji Sikdang,4.2,2789,[korean_barbecue_restaurant],"149 Dasan-ro, Jung District, Seoul, South Korea",Seoul,+82 10-4484-8750,,11713.8
강강술래 상계점,4.1,2856,[korean_barbecue_restaurant],"1628 Dongil-ro, Nowon-gu, Seoul, South Korea",Seoul,+82 2-935-9233,http://www.sullai.com/,11709.6
Taco Tuesday Seongsu,4.9,2377,"[mexican_restaurant, bar, restaurant]","10 Wangsimni-ro 10-gil, Seongdong-gu, Seoul, South Korea",Seoul,+82 50-71319-0248,https://map.naver.com/p/search/%25ED%2583%2580%25EC%25BD%2594%25ED%258A%259C%25EC%25A6%2588%25EB%258D%25B0%25EC%259D%25B4/place/1836736663,11647.3
Hosu Samgyetang,4.1,2814,"[chicken_restaurant, restaurant]","274-1 Dorim-ro, Yeongdeungpo District, Seoul, South Korea",Seoul,+82 2-848-2440,,11537.4
영진돼지국밥 본점,4.5,2562,[pork_rice_soup_restaurant],"39 Hasinbeonyeong-ro 157beon-gil, Saha-gu, Busan, South Korea",Busan,+82 51-206-3820,,11529
Miyoung's Sashimi,4.5,2557,[seafood_restaurant],"770-29 Hamo-ri, Daejeong-eup, Seogwipo-si, Jeju-do, South Korea",Jeju-do,+82 64-792-0077,,11506.5
Saemaul Restaurant Hongdae Seogyo Branch,4.7,2417,[korean_barbecue_restaurant],"144 Eoulmadang-ro, Mapo-gu, Seoul, South Korea",Seoul,+82 2-332-0120,,11359.9
Byeoryangjip,4.7,2308,"[korean_barbecue_restaurant, korean_restaurant, meat_restaurant, restaurant]","17 Teheran-ro 43-gil, Gangnam District, Seoul, South Korea",Seoul,+82 2-501-2937,https://m.place.naver.com/restaurant/19872940/home,10847.6
Star Samarkand (Halal),4.2,2542,[uzbek_restaurant],"14 Eulji-ro 42-gil, Jung District, Seoul, South Korea",Seoul,+82 2-2279-7780,https://youtu.be/Xp5XlhAtZ_c,10676.4
식당3선 센텀점,4.2,2524,[korean_barbecue_restaurant],"230 Haeun-daero, Haeundae-gu, Busan, South Korea",Busan,+82 51-781-0808,http://www.3sun.kr/,10600.8
BB.Q Chicken Myeongdong Star,4.7,2246,"[chicken_restaurant, chicken_shop]","2 Myeongdong 4-gil, Jung District, Seoul, South Korea",Seoul,+82 2-318-8809,http://www.bbq.co.kr/,10556.2
Ilpyeon Jangeo Hongdae,4.9,2150,[restaurant],"South Korea, Seoul, Mapo-gu, Yanghwa-ro 16-gil, 15 2층 201호",Seoul,+82 2-336-6716,https://naver.me/x7ncP3WL,10535
도두해녀의집,4.1,2560,[restaurant],"16 Doduhang-gil, 특별자치도, Jeju-si, Jeju-do, South Korea",Jeju-do,,,10496
60년전통 할매국밥,4.2,2484,[pork_rice_soup_restaurant],"4 Jungang-daero 533beon-gil, Dong-gu, Busan, South Korea",Busan,+82 51-646-6295,,10432.8
Jeju Gommak Restaurant,4.3,2424,[sashimi_restaurant],"64 Gujwahaean-ro, Gujwa-eup, Jeju-si, Jeju-do, South Korea",Jeju-do,+82 64-727-5111,,10423.2
Gaemi-jip Seomyeon 1st street branch,4.2,2452,[long_legged_octopus_restaurant],"73 Sincheon-daero 62beon-gil, Busanjin District, Busan, South Korea",Busan,+82 51-819-8809,,10298.4
Daedo Sikdang,4.1,2480,"[korean_barbecue_restaurant, meat_restaurant]","431-2 Hongik-dong, Seongdong-gu, Seoul, South Korea",Seoul,+82 2-2292-9772,http://kitchenborie.com/%25ED%2582%25A4%25EC%25B9%259C%25EB%25B3%25B4%25EB%25A6%25AC%25EC%2597%2590-%25EB%25B8%258C%25EB%259E%259C%25EB%2593%259C/%25EB%258C%2580%25EB%258F%2584%25EC%258B%259D%25EB%258B%25B9/,10168
Persian Palace Restaurant,4.7,2153,"[persian_restaurant, middle_eastern_restaurant, restaurant]","9 Sungkyunkwan-ro 6-gil, Jongno District, Seoul, South Korea",Seoul,+82 2-763-6050,http://www.persianpalace.com/,10119.1
Bono Bono Samseong,4.1,2463,"[buffet_restaurant, seafood_restaurant]","508 Teheran-ro, Gangnam District, Seoul, South Korea",Seoul,+82 2-3288-8080,http://bonobonopremium.com/,10098.3
Kampungku Restaurant,4.5,2243,[halal_restaurant],"16-4 Namsan-dong 2(i)-ga, Jung District, Seoul, South Korea",Seoul,+82 2-310-9249,https://m.facebook.com/kampungkumyeongdong/,10093.5
Taecho,5,2018,[korean_barbecue_restaurant],"South Korea, Seoul, Mapo-gu, Eoulmadang-ro, 122 2층",Seoul,+82 10-2733-4590,,10090
Goryeo Samgyetang City Hall Branch,4.1,2454,[samgyetang_restaurant],"1 Seosomun-ro 11-gil, Jung District, Seoul, South Korea",Seoul,+82 2-752-9376,https://www.krsamgyetang.com/,10061.4
Heavy Steak Jongno-gu office,4.8,2089,[steak_house],"42 Sambong-ro, Jongno District, Seoul, South Korea",Seoul,+82 2-733-3309,https://instagram.com/heavysteak_official%3Futm_source%3Dig_profile_share%26igshid%3D11m66pbh7ryaa,10027.2
은희네해장국 본점,4.3,2327,[hangover_soup_restaurant],"357-4 일도2동 Jeju-si, Jeju-do, South Korea",Jeju-do,+82 64-726-5622,,10006.1
하남돼지집 동대문점,4.9,2021,[restaurant],"South Korea, Seoul, Jung District, Eulji-ro 43-gil, 9 하남돼지집동대문점 1층",Seoul,+82 10-4814-1876,https://www.hanampig.co.kr/,9902.9
Seoul Shilla Hotel The Parkview,4.5,2177,"[buffet_restaurant, eclectic_restaurant, restaurant]","249 Dongho-ro, Jung District, Seoul, South Korea",Seoul,+82 2-2230-3374,https://www.shilla.net/seoul/dining/viewDining.do%3FcontId%3DPAR%23ad-image-0,9796.5
Goraesa Eomuk Fishcake Shop,4.2,2321,"[oden_restaurant, restaurant]","14 Gunam-ro, Haeundae-gu, Busan, South Korea",Busan,+82 1577-9820,http://www.goraesa.com/,9748.2
Donsadon (Main Branch),4.1,2375,[korean_barbecue_restaurant],"3086-3 노형동 Jeju-si, Jeju-do, South Korea",Jeju-do,+82 64-746-8989,,9737.5
해운대 가야밀면,4.1,2375,[cold_noodle_restaurant],"South Korea, Busan, Haeundae-gu, Jwadongsunhwan-ro, 27 가야밀면",Busan,+82 51-747-9404,https://smkt.co.kr/ad/%3Fcc%3Dgaya_milmyeon,9737.5
Urban Garden,4.2,2308,[italian_restaurant],"12-15 Jeongdong-gil, Jung District, Seoul, South Korea",Seoul,+82 2-777-2254,http://www.urbangarden.co.kr/,9693.6
ABIKO CURRY,4.9,1968,[japanese_curry_restaurant],"South Korea, Seoul, Yeongdeungpo District, Yeongjung-ro, 15 B1층",Seoul,+82 2-2634-0122,,9643.2
국제밀면 본점,4.2,2292,[cold_noodle_restaurant],"23-6 Jungang-daero 1235beon-gil, Yeonje-gu, Busan, South Korea",Busan,+82 51-501-5507,,9626.4
